customer_id,customer_name,loyalty_tier,state,last_order_date,total_orders,days_since_last_order,churn_status
2735,Jason Johnson,Gold,AZ,2022-09-01,3,852.0,Churned
9250,Pamela Hernandez,Bronze,OH,2022-09-01,2,852.0,Churned
5465,Dale Smith,Gold,NY,2022-09-02,5,851.0,Churned
3058,Stephanie Taylor,Bronze,AZ,2022-09-04,3,849.0,Churned
9117,Daniel Holmes,Bronze,WI,2022-09-22,1,831.0,Churned
4695,Nathan Sharp,Bronze,NJ,2022-09-25,2,828.0,Churned
9774,Anna Walker,Bronze,CA,2022-09-26,3,827.0,Churned
2957,Sandra Walsh,Gold,IL,2022-09-28,2,825.0,Churned
8911,Melissa Mcpherson,Silver,WI,2022-10-03,1,820.0,Churned
1651,Michelle Dickerson,Bronze,WA,2022-10-05,4,818.0,Churned
236,Jonathan Evans,Silver,TX,2022-10-08,4,815.0,Churned
9329,Jeremy Miranda,Bronze,CA,2022-10-12,2,811.0,Churned
6025,Brittany Wade,Bronze,NY,2022-10-13,1,810.0,Churned
317,Joshua Clarke,Silver,TX,2022-10-23,1,800.0,Churned
8332,Katrina Garcia,Bronze,TN,2022-11-03,4,789.0,Churned
5072,Mary Juarez,Silver,OH,2022-11-07,3,785.0,Churned
1586,Sergio Huff,Bronze,AZ,2022-11-09,3,783.0,Churned
4333,Tracy Keller,Silver,FL,2022-11-09,3,783.0,Churned
2894,Amanda Smith,Bronze,IL,2022-11-13,4,779.0,Churned
3740,Alvin Patterson,Silver,MD,2022-11-13,2,779.0,Churned
1478,Kevin Brown,Gold,MI,2022-11-16,5,776.0,Churned
2345,Susan Warner,Bronze,AZ,2022-11-16,1,776.0,Churned
1769,Yvette Francis,Gold,MI,2022-11-18,3,774.0,Churned
2604,Joseph Wright,Gold,VA,2022-11-18,1,774.0,Churned
4240,Amy Payne,Silver,TN,2022-11-18,2,774.0,Churned
3110,Kristy Stevens,Bronze,VA,2022-11-23,4,769.0,Churned
6142,Eric Delacruz,Bronze,MD,2022-11-25,3,767.0,Churned
2274,Andrew Randall,Platinum,NY,2022-11-26,4,766.0,Churned
800,John Smith,Bronze,MI,2022-11-27,1,765.0,Churned
6825,Amy Hamilton,Silver,CA,2022-11-29,4,763.0,Churned
2200,Michael Bowen,Platinum,VA,2022-12-09,3,753.0,Churned
6356,Heather Smith,Bronze,TX,2022-12-09,4,753.0,Churned
2373,George Mann,Silver,OH,2022-12-20,4,742.0,Churned
7256,Michael Yates,Silver,MD,2022-12-26,4,736.0,Churned
3701,Angela Wallace,Gold,VA,2022-12-29,8,733.0,Churned
4655,Kimberly Davis,Bronze,VA,2022-12-30,4,732.0,Churned
1800,William Rich,Silver,NJ,2022-12-31,2,731.0,Churned
4234,Michael Simmons,Platinum,IN,2022-12-31,4,731.0,Churned
7449,Christine Garcia,Bronze,IN,2023-01-01,3,730.0,Churned
8772,Sergio Fisher,Gold,IN,2023-01-01,4,730.0,Churned
9321,Daniel Baker,Bronze,WI,2023-01-04,4,727.0,Churned
9920,Joseph Brooks,Bronze,WA,2023-01-06,2,725.0,Churned
1312,Mary Cook,Bronze,MA,2023-01-10,3,721.0,Churned
9112,Ashley Montgomery,Silver,AZ,2023-01-12,2,719.0,Churned
5247,Ian Snow,Silver,GA,2023-01-15,2,716.0,Churned
9276,Julie Maddox,Gold,GA,2023-01-16,9,715.0,Churned
3387,John Smith,Silver,GA,2023-01-21,6,710.0,Churned
5896,Heather Tucker,Bronze,IN,2023-01-23,3,708.0,Churned
3561,Sheila Johnson,Gold,PA,2023-01-24,1,707.0,Churned
3687,Tara Lopez,Bronze,IN,2023-01-28,4,703.0,Churned
4478,Tonya Fisher,Silver,OH,2023-01-28,5,703.0,Churned
5319,Laura Perez,Platinum,WI,2023-01-29,4,702.0,Churned
476,Peter Henry,Bronze,OH,2023-01-30,3,701.0,Churned
494,Jonathan Tucker,Bronze,WI,2023-01-30,6,701.0,Churned
9714,Jason Watkins,Gold,NY,2023-01-30,3,701.0,Churned
941,Joseph Mercado,Bronze,NJ,2023-01-31,1,700.0,Churned
5361,Jillian Arnold,Bronze,NC,2023-02-02,5,698.0,Churned
4378,Angela Webb,Bronze,CA,2023-02-07,6,693.0,Churned
1311,Kelsey Greene,Bronze,WA,2023-02-09,8,691.0,Churned
2464,Heather Ramirez,Bronze,OH,2023-02-10,6,690.0,Churned
7927,Jennifer Cole,Silver,FL,2023-02-10,4,690.0,Churned
6673,Lori Henry,Bronze,IL,2023-02-11,2,689.0,Churned
9378,Gabriel Montgomery,Silver,IL,2023-02-11,5,689.0,Churned
8945,Jason Gomez,Silver,NJ,2023-02-12,2,688.0,Churned
2330,Melinda Miller,Silver,PA,2023-02-17,8,683.0,Churned
7881,Kathy Fowler,Bronze,CA,2023-02-22,3,678.0,Churned
7652,Brooke Klein,Bronze,TX,2023-02-24,6,676.0,Churned
538,Andrew Gray,Gold,OH,2023-02-25,4,675.0,Churned
7883,Aaron Alvarado,Bronze,WI,2023-02-28,3,672.0,Churned
3402,Erica Burgess,Silver,TN,2023-03-01,4,671.0,Churned
2,Katherine Moore,Bronze,VA,2023-03-02,7,670.0,Churned
466,Gabriela Nelson,Bronze,MA,2023-03-02,2,670.0,Churned
9464,Glenn Robinson,Bronze,MA,2023-03-02,3,670.0,Churned
8303,Jonathan Griffin,Bronze,WI,2023-03-03,6,669.0,Churned
7542,Diana Alvarado,Bronze,MD,2023-03-04,4,668.0,Churned
9582,Elizabeth Webster,Bronze,GA,2023-03-06,2,666.0,Churned
1464,Kenneth Brennan,Bronze,MA,2023-03-09,7,663.0,Churned
1649,Brian Reynolds,Silver,OH,2023-03-11,3,661.0,Churned
872,Rick Tucker,Gold,WA,2023-03-14,4,658.0,Churned
7062,Donald Strong,Bronze,PA,2023-03-14,5,658.0,Churned
5615,Michael Harding,Gold,OH,2023-03-15,4,657.0,Churned
6773,Devin Boyd,Platinum,GA,2023-03-15,5,657.0,Churned
9879,Mario Brown,Bronze,CA,2023-03-16,4,656.0,Churned
3882,Cynthia Olson,Bronze,VA,2023-03-17,7,655.0,Churned
4368,Jared Cox,Silver,MO,2023-03-18,2,654.0,Churned
6055,Melissa Brown,Bronze,MD,2023-03-19,2,653.0,Churned
6774,Kristen Stewart,Platinum,IN,2023-03-19,6,653.0,Churned
7842,James Gilbert,Silver,FL,2023-03-19,5,653.0,Churned
2504,Caitlyn Walker,Gold,CA,2023-03-20,6,652.0,Churned
2850,Katherine Hicks,Silver,MA,2023-03-20,4,652.0,Churned
8803,Robert Gutierrez,Bronze,MO,2023-03-23,3,649.0,Churned
3902,Linda Mitchell,Gold,CA,2023-03-26,3,646.0,Churned
5907,Julie Boyer,Silver,GA,2023-03-29,3,643.0,Churned
1959,Samantha Medina,Gold,VA,2023-03-30,6,642.0,Churned
4366,Carolyn Thompson,Bronze,OH,2023-03-31,3,641.0,Churned
5985,John Rojas,Gold,MA,2023-04-02,5,639.0,Churned
9651,Audrey George,Gold,VA,2023-04-03,5,638.0,Churned
8635,Mark Aguirre,Gold,MD,2023-04-04,5,637.0,Churned
1243,David Lucas,Gold,NC,2023-04-05,6,636.0,Churned
4170,Brandon Mosley,Bronze,GA,2023-04-06,6,635.0,Churned
8211,Stephen Moore,Silver,NC,2023-04-06,4,635.0,Churned
9904,Laura Webb,Silver,WA,2023-04-06,3,635.0,Churned
3883,Amber Ross,Gold,CA,2023-04-08,2,633.0,Churned
9711,Kevin Levine,Gold,TX,2023-04-09,2,632.0,Churned
1288,Jesse Blair,Silver,NC,2023-04-10,6,631.0,Churned
3582,Kimberly Myers,Bronze,TX,2023-04-13,5,628.0,Churned
6132,Sara Gibson,Bronze,TN,2023-04-13,7,628.0,Churned
9946,Travis Rodriguez,Bronze,TN,2023-04-13,2,628.0,Churned
7163,Tiffany Owens,Gold,GA,2023-04-14,6,627.0,Churned
5200,Christian Davila,Silver,TX,2023-04-15,3,626.0,Churned
6809,Stephen Kane,Bronze,OH,2023-04-15,4,626.0,Churned
4654,Andrew Moore,Bronze,OH,2023-04-16,4,625.0,Churned
5291,Lisa Cook,Gold,NJ,2023-04-16,6,625.0,Churned
8170,Yvonne Scott,Platinum,NY,2023-04-17,2,624.0,Churned
5029,David Brown,Bronze,TN,2023-04-18,6,623.0,Churned
5254,Diana Molina,Gold,VA,2023-04-18,6,623.0,Churned
5933,Shirley Gomez,Silver,AZ,2023-04-18,1,623.0,Churned
2421,Melissa Lewis,Bronze,MO,2023-04-20,6,621.0,Churned
5300,John Banks,Bronze,IL,2023-04-21,4,620.0,Churned
6762,Emily Torres,Silver,TX,2023-04-24,3,617.0,Churned
7924,Gina Wiley,Silver,WA,2023-04-24,4,617.0,Churned
6044,Nicholas Johnson,Silver,NC,2023-04-26,2,615.0,Churned
3877,Michael Murphy,Silver,WI,2023-04-28,2,613.0,Churned
5655,Kayla Neal,Platinum,PA,2023-04-28,7,613.0,Churned
8827,Sherri Burns,Silver,NY,2023-04-28,2,613.0,Churned
2847,Zachary Fernandez,Bronze,PA,2023-04-30,4,611.0,Churned
9014,Lindsey Alexander,Silver,TX,2023-05-02,4,609.0,Churned
3339,Amanda Campbell,Bronze,MO,2023-05-04,1,607.0,Churned
3964,Diana James,Bronze,NC,2023-05-04,7,607.0,Churned
237,Tracy Nolan,Gold,IN,2023-05-05,3,606.0,Churned
6605,Christopher Cohen,Gold,VA,2023-05-05,6,606.0,Churned
8189,Corey Flores,Bronze,NC,2023-05-06,3,605.0,Churned
6149,Kevin Patrick,Bronze,VA,2023-05-07,5,604.0,Churned
2288,Brittany Robbins,Platinum,VA,2023-05-09,6,602.0,Churned
745,Michele Stephens,Bronze,CA,2023-05-11,7,600.0,Churned
3174,Spencer Gonzalez,Bronze,MA,2023-05-11,5,600.0,Churned
7729,Alexandria Rogers,Silver,WA,2023-05-14,3,597.0,Churned
5654,Matthew Mendez,Platinum,PA,2023-05-15,4,596.0,Churned
8141,Christopher Stanley,Silver,OH,2023-05-15,6,596.0,Churned
7798,Benjamin Jackson,Bronze,PA,2023-05-18,2,593.0,Churned
954,Jack Wyatt,Silver,FL,2023-05-19,3,592.0,Churned
1106,Brenda Garcia,Bronze,FL,2023-05-19,8,592.0,Churned
2218,Douglas Keller,Gold,MD,2023-05-21,6,590.0,Churned
6557,Mary Martinez,Bronze,IN,2023-05-23,5,588.0,Churned
3127,Jeffrey Nguyen,Bronze,OH,2023-05-24,4,587.0,Churned
4661,Michelle Robbins,Bronze,MO,2023-05-24,4,587.0,Churned
1951,Angela Taylor,Bronze,IN,2023-05-28,7,583.0,Churned
7574,Elizabeth Thomas,Silver,FL,2023-05-29,3,582.0,Churned
4260,Dennis Good,Gold,MI,2023-05-30,5,581.0,Churned
6685,Lauren Turner,Silver,MD,2023-05-30,3,581.0,Churned
9478,Sarah Mclaughlin,Bronze,NJ,2023-05-30,3,581.0,Churned
4266,Troy Moore,Silver,FL,2023-06-01,5,579.0,Churned
3278,Erica Sanders,Gold,VA,2023-06-02,3,578.0,Churned
826,Troy Arnold,Silver,WA,2023-06-05,8,575.0,Churned
6203,Michelle Jefferson,Silver,MA,2023-06-05,6,575.0,Churned
6213,Ryan Webb,Bronze,IL,2023-06-06,5,574.0,Churned
942,Ryan Sanchez,Bronze,NY,2023-06-08,3,572.0,Churned
2487,Ethan Jackson,Bronze,VA,2023-06-08,4,572.0,Churned
3426,Alexander Adams,Bronze,TN,2023-06-09,3,571.0,Churned
4423,William James,Platinum,WA,2023-06-11,5,569.0,Churned
289,John Jensen,Gold,MO,2023-06-12,5,568.0,Churned
2291,Erica Rhodes,Bronze,AZ,2023-06-12,2,568.0,Churned
6064,Helen Santos,Silver,MO,2023-06-13,6,567.0,Churned
9494,Lisa Wright,Silver,IN,2023-06-13,5,567.0,Churned
3472,Kimberly Smith,Gold,OH,2023-06-14,5,566.0,Churned
7385,Sabrina Brown,Silver,NY,2023-06-14,2,566.0,Churned
1923,Joseph Payne,Silver,IL,2023-06-15,1,565.0,Churned
2583,Cynthia Obrien,Bronze,TN,2023-06-16,1,564.0,Churned
4305,Virginia Mcdonald,Bronze,MO,2023-06-16,8,564.0,Churned
6975,Ashley Fitzgerald,Bronze,MO,2023-06-17,6,563.0,Churned
7370,Amber Estrada,Gold,AZ,2023-06-17,8,563.0,Churned
1090,Richard Rivera,Silver,IL,2023-06-20,3,560.0,Churned
205,Michael Moore,Bronze,GA,2023-06-21,5,559.0,Churned
7666,Benjamin Lewis,Gold,MI,2023-06-22,7,558.0,Churned
573,Eric Richards,Silver,NY,2023-06-23,7,557.0,Churned
2001,Bryan Valenzuela,Platinum,TN,2023-06-23,6,557.0,Churned
8524,Amanda Miller,Silver,MI,2023-06-23,3,557.0,Churned
9859,Loretta Ward,Platinum,NY,2023-06-25,2,555.0,Churned
298,Edward Harris,Gold,MI,2023-06-26,4,554.0,Churned
9142,Tina Schmidt,Platinum,NC,2023-06-26,6,554.0,Churned
5015,Michael Watson,Bronze,VA,2023-06-27,4,553.0,Churned
1786,John Shaw,Platinum,MI,2023-07-01,8,549.0,Churned
7490,Kaitlyn Diaz,Silver,VA,2023-07-01,7,549.0,Churned
8175,Jennifer Fields,Bronze,CA,2023-07-01,2,549.0,Churned
9505,Christopher White,Bronze,MA,2023-07-01,5,549.0,Churned
9103,Christina Rivera,Bronze,IN,2023-07-02,7,548.0,Churned
9614,Michael Smith,Bronze,MO,2023-07-02,6,548.0,Churned
6782,Nathan Williams,Silver,IL,2023-07-05,4,545.0,Churned
8571,Jessica Dennis,Silver,VA,2023-07-05,6,545.0,Churned
9822,Gary Summers,Bronze,MA,2023-07-05,6,545.0,Churned
9870,Paul Glover,Silver,IL,2023-07-05,3,545.0,Churned
4514,Mark Jacobs,Silver,VA,2023-07-07,5,543.0,Churned
5502,Victoria Taylor,Bronze,FL,2023-07-07,5,543.0,Churned
8754,Jessica Kramer,Bronze,MI,2023-07-07,2,543.0,Churned
2573,Zachary Howard,Bronze,MO,2023-07-08,3,542.0,Churned
1540,Rebecca Taylor,Bronze,IL,2023-07-09,2,541.0,Churned
5333,Nicole Russell,Bronze,NY,2023-07-09,4,541.0,Churned
425,Kevin Shah,Gold,AZ,2023-07-10,5,540.0,Churned
1684,Rachel Myers,Gold,MA,2023-07-10,3,540.0,Churned
6746,Amber Robinson,Gold,MO,2023-07-10,4,540.0,Churned
9832,Rodney Morales,Bronze,NJ,2023-07-10,5,540.0,Churned
7070,Amanda Brown,Bronze,OH,2023-07-11,5,539.0,Churned
7005,Karen Buck,Bronze,WI,2023-07-13,8,537.0,Churned
7184,Jordan Smith,Bronze,NJ,2023-07-13,10,537.0,Churned
7630,Jeffrey Clark,Bronze,TN,2023-07-13,4,537.0,Churned
5763,Sarah Silva,Gold,PA,2023-07-15,4,535.0,Churned
7409,Andres Silva,Bronze,NC,2023-07-15,6,535.0,Churned
8693,Shelly Bridges,Platinum,MI,2023-07-15,5,535.0,Churned
9348,Brianna Frazier,Gold,NC,2023-07-15,4,535.0,Churned
5325,Nicholas Perry,Silver,WA,2023-07-16,4,534.0,Churned
7307,Timothy Vaughan,Silver,OH,2023-07-17,3,533.0,Churned
1577,Natalie Oliver,Gold,TN,2023-07-18,4,532.0,Churned
5259,Alexandria Ferguson,Bronze,MI,2023-07-18,4,532.0,Churned
6560,Derek Ray,Bronze,MI,2023-07-18,6,532.0,Churned
6727,Ashley Wolfe,Gold,NY,2023-07-18,4,532.0,Churned
6787,Jeffrey Fritz,Platinum,MI,2023-07-18,4,532.0,Churned
4959,Lauren Vaughn,Bronze,NC,2023-07-19,5,531.0,Churned
6732,Christopher Oliver,Silver,WI,2023-07-19,3,531.0,Churned
2268,Laurie Robinson,Platinum,GA,2023-07-21,1,529.0,Churned
5092,Gilbert Cannon,Silver,MA,2023-07-21,6,529.0,Churned
7608,Linda Hall,Gold,TX,2023-07-21,4,529.0,Churned
9256,Anthony Anderson,Silver,GA,2023-07-21,5,529.0,Churned
308,James Burton,Silver,NJ,2023-07-23,3,527.0,Churned
370,John Bird,Gold,FL,2023-07-23,4,527.0,Churned
676,Mary Woodard,Gold,NY,2023-07-23,3,527.0,Churned
9027,Jessica Butler,Gold,TX,2023-07-23,6,527.0,Churned
9087,Sarah Barber,Silver,NC,2023-07-23,6,527.0,Churned
631,Adam Allen,Bronze,WI,2023-07-24,6,526.0,Churned
6125,Jonathon Aguilar,Gold,NC,2023-07-24,5,526.0,Churned
2259,Kathy Turner,Bronze,GA,2023-07-25,1,525.0,Churned
3772,Jose Murphy,Gold,MA,2023-07-26,3,524.0,Churned
3523,Sara Walker,Silver,OH,2023-07-27,7,523.0,Churned
6070,Colleen Watson,Platinum,TN,2023-07-28,5,522.0,Churned
7612,Lee Rose,Silver,MI,2023-07-28,3,522.0,Churned
2142,Sherry Molina,Bronze,GA,2023-07-29,7,521.0,Churned
2300,Crystal Brooks,Platinum,AZ,2023-07-29,6,521.0,Churned
3171,Gary Hudson,Gold,CA,2023-07-29,3,521.0,Churned
9398,David Johnson,Gold,FL,2023-07-29,4,521.0,Churned
9121,Rebecca Vargas,Gold,AZ,2023-07-31,2,519.0,Churned
887,Maurice Turner,Bronze,VA,2023-08-01,9,518.0,Churned
932,Michelle Austin,Gold,WI,2023-08-01,7,518.0,Churned
4431,Stephen Stewart,Bronze,OH,2023-08-01,8,518.0,Churned
4512,Robert Chung,Bronze,FL,2023-08-01,5,518.0,Churned
7649,Kayla Rogers,Bronze,TX,2023-08-01,4,518.0,Churned
8922,Renee Estes,Platinum,FL,2023-08-02,11,517.0,Churned
9283,Karen Miller,Bronze,GA,2023-08-02,7,517.0,Churned
9370,Dominic Rich,Gold,GA,2023-08-02,4,517.0,Churned
6067,Brittany Patterson,Platinum,VA,2023-08-03,5,516.0,Churned
6172,Dennis Richardson,Gold,VA,2023-08-03,3,516.0,Churned
8959,Margaret Warren,Gold,MO,2023-08-03,5,516.0,Churned
9882,Crystal Williams,Bronze,IN,2023-08-03,5,516.0,Churned
6537,Sarah Ramos,Silver,TX,2023-08-04,6,515.0,Churned
7604,Angela Brooks,Bronze,MA,2023-08-05,4,514.0,Churned
8033,Kevin Hancock,Silver,MA,2023-08-05,3,514.0,Churned
502,Jennifer Miles,Bronze,MO,2023-08-06,5,513.0,Churned
4766,Cassandra Nguyen,Bronze,PA,2023-08-06,4,513.0,Churned
2332,Katelyn Rodriguez,Bronze,MO,2023-08-07,6,512.0,Churned
3745,Lucas Dawson,Bronze,TX,2023-08-07,6,512.0,Churned
3578,Andre Smith,Bronze,VA,2023-08-08,5,511.0,Churned
8138,William Nunez,Silver,NJ,2023-08-08,5,511.0,Churned
1967,Sarah Larson,Platinum,AZ,2023-08-09,6,510.0,Churned
2097,Maxwell Rogers,Bronze,MI,2023-08-09,6,510.0,Churned
2511,Michelle Webster,Silver,FL,2023-08-09,9,510.0,Churned
5223,Amanda Gonzalez,Bronze,GA,2023-08-11,6,508.0,Churned
8919,Matthew Warren,Gold,MD,2023-08-11,7,508.0,Churned
514,Ronald Taylor,Platinum,IL,2023-08-12,5,507.0,Churned
8435,Laura Mccarty,Bronze,NJ,2023-08-12,5,507.0,Churned
1283,Steven Grant,Bronze,GA,2023-08-13,6,506.0,Churned
1708,Joe Murphy,Silver,WI,2023-08-13,7,506.0,Churned
888,Angela Flores,Silver,NY,2023-08-14,5,505.0,Churned
410,Scott Durham,Platinum,AZ,2023-08-15,8,504.0,Churned
846,Jose Brown,Platinum,OH,2023-08-15,4,504.0,Churned
925,Darlene Clark,Bronze,VA,2023-08-15,5,504.0,Churned
2789,Jack Galvan,Bronze,NC,2023-08-15,5,504.0,Churned
3585,Brenda Hudson,Gold,MA,2023-08-15,6,504.0,Churned
9717,David Cohen,Silver,TN,2023-08-15,3,504.0,Churned
2388,Angel Johnson,Platinum,TN,2023-08-16,8,503.0,Churned
3326,Ashley Stone,Silver,IN,2023-08-18,3,501.0,Churned
6019,Trevor Drake,Bronze,IL,2023-08-18,4,501.0,Churned
7185,Steven Newton,Gold,MD,2023-08-18,8,501.0,Churned
9397,David Benitez,Bronze,MA,2023-08-18,8,501.0,Churned
560,Elizabeth Kramer,Silver,MI,2023-08-19,2,500.0,Churned
1179,Paul Williams,Silver,WA,2023-08-19,5,500.0,Churned
1685,Jose Lee,Gold,IN,2023-08-19,6,500.0,Churned
1940,Ronald Dyer,Silver,NJ,2023-08-19,7,500.0,Churned
8614,Thomas Castillo,Bronze,CA,2023-08-19,10,500.0,Churned
9375,Alexandra Dean,Bronze,WI,2023-08-19,4,500.0,Churned
3556,Randall Krause,Bronze,MI,2023-08-21,4,498.0,Churned
5097,Louis Ware,Bronze,WI,2023-08-21,7,498.0,Churned
6678,Matthew Roberts,Gold,NJ,2023-08-21,4,498.0,Churned
7276,Jason Carr,Gold,CA,2023-08-21,7,498.0,Churned
7870,Jimmy Stephens,Silver,TX,2023-08-21,6,498.0,Churned
8305,Tina Leblanc,Bronze,CA,2023-08-23,6,496.0,Churned
3092,Brenda Howe,Bronze,OH,2023-08-25,5,494.0,Churned
6594,Christina Castro,Silver,NY,2023-08-25,3,494.0,Churned
3425,Robert Edwards,Bronze,WI,2023-08-26,5,493.0,Churned
9581,Amanda Harris,Gold,MA,2023-08-26,6,493.0,Churned
164,Robert Smith,Platinum,VA,2023-08-27,6,492.0,Churned
7015,Nathan Young,Bronze,NY,2023-08-30,4,489.0,Churned
4521,James Reyes,Bronze,IN,2023-08-31,8,488.0,Churned
7510,Karen King,Bronze,NY,2023-08-31,4,488.0,Churned
7887,Monica Freeman,Gold,TN,2023-08-31,5,488.0,Churned
8108,Patricia Maldonado,Bronze,FL,2023-08-31,5,488.0,Churned
8777,Meghan Allen,Gold,NC,2023-08-31,5,488.0,Churned
3219,Luis Donovan,Bronze,NJ,2023-09-01,6,487.0,Churned
5525,Jessica Young,Platinum,TN,2023-09-01,6,487.0,Churned
6927,Jessica Crawford,Bronze,MI,2023-09-01,5,487.0,Churned
1664,Joseph Daniel,Silver,MO,2023-09-02,5,486.0,Churned
5146,Casey Romero,Gold,TX,2023-09-02,2,486.0,Churned
8602,Heather Warren,Bronze,NJ,2023-09-02,8,486.0,Churned
5329,Sharon Lynch,Silver,MA,2023-09-04,8,484.0,Churned
220,Jackie Miller,Bronze,CA,2023-09-05,6,483.0,Churned
3487,Anthony Baldwin,Silver,MA,2023-09-05,5,483.0,Churned
4817,Holly Duke,Silver,IN,2023-09-05,4,483.0,Churned
143,Sara Long,Silver,WI,2023-09-06,7,482.0,Churned
2331,Karen Dickerson,Bronze,IN,2023-09-06,7,482.0,Churned
5754,Joshua Copeland,Gold,NY,2023-09-06,2,482.0,Churned
8532,Julia Wallace,Silver,NJ,2023-09-07,6,481.0,Churned
71,Christopher Lozano,Gold,WI,2023-09-08,5,480.0,Churned
6830,Louis Rose,Gold,NJ,2023-09-08,2,480.0,Churned
2250,Daniel Curtis,Gold,PA,2023-09-09,4,479.0,Churned
1814,Krista Contreras,Gold,TX,2023-09-10,1,478.0,Churned
4064,Phillip Johnson,Bronze,TX,2023-09-10,4,478.0,Churned
4174,Melissa Snyder,Silver,WI,2023-09-10,5,478.0,Churned
2070,Tami Douglas,Bronze,MI,2023-09-11,4,477.0,Churned
4345,David Buchanan,Bronze,WI,2023-09-11,7,477.0,Churned
6541,Jennifer Kerr,Bronze,PA,2023-09-11,3,477.0,Churned
9078,Colton Taylor,Bronze,FL,2023-09-11,5,477.0,Churned
9267,Elizabeth Myers,Silver,MD,2023-09-11,4,477.0,Churned
9780,Debra Barker,Bronze,NC,2023-09-11,9,477.0,Churned
5701,Alexis Le,Gold,PA,2023-09-12,5,476.0,Churned
5913,Wanda Brown,Gold,TN,2023-09-12,11,476.0,Churned
7092,Joseph Smith,Gold,MI,2023-09-12,7,476.0,Churned
9852,Susan Ortiz,Bronze,IL,2023-09-13,5,475.0,Churned
2883,Susan Heath,Silver,WI,2023-09-14,7,474.0,Churned
5033,Ethan Jacobs,Platinum,FL,2023-09-15,6,473.0,Churned
8292,Lori Brown,Gold,TX,2023-09-16,7,472.0,Churned
2068,Amy Horton,Bronze,NJ,2023-09-17,7,471.0,Churned
3262,Tracy Lawson,Platinum,GA,2023-09-17,2,471.0,Churned
5353,Sarah Ibarra,Gold,TX,2023-09-17,7,471.0,Churned
7828,Katherine Sparks,Silver,MO,2023-09-18,6,470.0,Churned
4866,Kathy Bond,Silver,OH,2023-09-19,3,469.0,Churned
5163,Daniel Ellis,Bronze,MA,2023-09-19,7,469.0,Churned
6780,Kimberly Sandoval,Bronze,NY,2023-09-19,6,469.0,Churned
1830,Elizabeth Ayala,Silver,GA,2023-09-21,6,467.0,Churned
2556,Michael Sparks,Silver,IL,2023-09-22,2,466.0,Churned
5729,Marcus Sullivan,Bronze,NJ,2023-09-22,4,466.0,Churned
3431,Kristin Baker,Gold,NC,2023-09-23,8,465.0,Churned
5594,Anna Fields,Bronze,FL,2023-09-23,2,465.0,Churned
5687,Jason Duncan,Bronze,IL,2023-09-23,6,465.0,Churned
80,Kelly Evans,Bronze,WI,2023-09-24,8,464.0,Churned
1074,David Vargas,Silver,MI,2023-09-24,3,464.0,Churned
4150,Bryan Roberts,Bronze,NJ,2023-09-24,4,464.0,Churned
9479,Darlene Bradley,Platinum,FL,2023-09-24,4,464.0,Churned
9723,David Henson,Gold,TX,2023-09-24,8,464.0,Churned
6054,Christina Wiggins,Bronze,WI,2023-09-25,7,463.0,Churned
9936,David Dunn,Silver,WI,2023-09-25,7,463.0,Churned
210,Lisa Andrews,Gold,AZ,2023-09-26,7,462.0,Churned
104,Tammy Grant,Bronze,OH,2023-09-27,4,461.0,Churned
331,Holly Hunter,Bronze,MI,2023-09-27,4,461.0,Churned
