customer_id,customer_name,loyalty_tier,state,total_orders,lifetime_value,avg_order_value,first_order_date,last_order_date,customer_tenure_days,clv_segment
648,Tracy Adams,Bronze,IN,10,1017833.45,36351.19,2022-03-08,2024-10-03,940.0,VIP
4704,Bianca Moody,Silver,NJ,11,1016103.55,28225.1,2022-02-09,2024-12-09,1034.0,VIP
9387,Danielle Benitez,Bronze,IL,7,1015682.29,53456.96,2022-01-21,2024-11-25,1039.0,VIP
171,Ryan Mcdaniel,Silver,TX,10,1015011.49,33833.72,2022-05-07,2024-12-15,953.0,VIP
1935,Dale Martinez,Silver,MA,3,1012705.08,112522.79,2022-01-30,2024-09-02,946.0,VIP
8257,Ronald Bailey,Silver,GA,4,1010222.42,84185.2,2022-01-02,2024-02-27,786.0,VIP
763,Andrea Graham,Silver,MO,6,1008000.14,43826.09,2022-05-01,2024-12-21,965.0,VIP
2586,Billy Wiggins,Silver,TN,9,1007236.08,50361.8,2022-02-04,2024-07-15,892.0,VIP
6519,Angelica Henderson,Bronze,AZ,8,1006570.16,45753.19,2022-03-16,2024-12-02,992.0,VIP
6275,George Gonzales,Silver,IN,9,1006463.81,41935.99,2022-10-05,2024-12-21,808.0,VIP
2992,Paul Dixon,Silver,AZ,12,1004074.22,25101.86,2022-01-18,2024-12-01,1048.0,VIP
2247,Donna Bowen,Silver,WA,11,999668.88,37024.77,2022-03-22,2024-10-09,932.0,VIP
8388,Elizabeth Green,Silver,PA,8,998231.43,47534.83,2022-04-16,2024-06-18,794.0,VIP
9706,Amanda James,Silver,VA,6,997618.72,58683.45,2022-08-05,2024-07-16,711.0,VIP
5380,Zachary Figueroa,Silver,NJ,11,971611.98,33503.86,2022-01-13,2024-10-09,1000.0,VIP
3266,Louis Mcdaniel,Silver,NC,13,954810.87,28082.67,2022-02-15,2024-10-04,962.0,VIP
5750,Shannon Harris,Silver,WA,7,941573.0,52309.61,2022-02-23,2024-01-24,700.0,VIP
7389,Frances Calderon,Gold,IL,10,938511.04,27603.27,2022-05-27,2024-07-28,793.0,VIP
996,Haley Hernandez,Platinum,AZ,8,895591.32,42647.21,2022-03-23,2024-12-09,992.0,VIP
1898,Benjamin Murphy,Silver,FL,8,891947.61,34305.68,2022-02-17,2024-07-07,871.0,VIP
1566,Kelly Lewis,Silver,PA,8,870780.84,25611.2,2022-06-25,2024-08-28,795.0,VIP
7760,Charles Hansen,Gold,FL,10,867336.78,25509.91,2022-01-11,2024-09-25,988.0,VIP
4809,Tonya Macias,Gold,NY,10,860046.32,26062.01,2022-04-23,2024-12-15,967.0,VIP
7426,Zachary Roy,Silver,NY,12,857585.71,18643.17,2022-02-06,2024-06-16,861.0,VIP
1100,Marco Hines,Platinum,FL,11,853520.18,20321.91,2022-05-10,2024-09-30,874.0,VIP
1938,Patricia Khan,Gold,AZ,13,850615.4,18491.64,2022-01-20,2024-12-12,1057.0,VIP
4086,Robert Campbell,Platinum,MA,9,849524.6,29293.95,2022-11-07,2024-12-15,769.0,VIP
2482,Roberta Castaneda,Bronze,MO,7,844577.44,31280.65,2022-01-07,2024-05-10,854.0,VIP
9733,Tammy Gross,Bronze,WA,9,844167.76,30148.85,2022-02-23,2024-12-15,1026.0,VIP
8579,Jose Lee,Bronze,FL,10,843247.22,32432.59,2022-08-23,2024-12-23,853.0,VIP
8283,Sandy Nguyen,Silver,MO,8,842730.56,35113.77,2022-07-05,2024-12-02,881.0,VIP
7092,Joseph Smith,Gold,MI,7,832805.74,36208.95,2022-01-04,2023-09-12,616.0,VIP
6280,Colin Acosta,Silver,WA,10,823576.19,29413.44,2022-01-27,2024-09-04,951.0,VIP
6999,Luis Bass,Bronze,OH,10,822473.51,23499.24,2022-02-26,2024-12-23,1031.0,VIP
1473,Marcus Brown,Bronze,PA,11,821200.71,21056.43,2022-07-06,2024-09-09,796.0,VIP
7470,Jessica Miller,Silver,TX,12,816835.67,18564.45,2022-04-19,2024-11-30,956.0,VIP
817,Robert Garcia,Bronze,OH,7,816567.04,30243.22,2022-04-25,2024-12-06,956.0,VIP
4426,Chelsea Williams,Silver,IN,9,815754.73,24719.84,2022-04-18,2024-06-13,787.0,VIP
3652,Teresa Braun,Silver,NJ,8,813973.46,32558.94,2022-04-14,2024-09-05,875.0,VIP
1465,Cindy Dixon,Bronze,WI,13,813960.64,19852.7,2022-06-02,2024-10-02,853.0,VIP
6099,Corey Flores,Bronze,MD,8,813959.61,31306.14,2022-01-04,2024-12-18,1079.0,VIP
8231,Stephen Henderson,Bronze,CA,9,813774.28,27125.81,2022-06-09,2024-12-24,929.0,VIP
6292,Sara Mcdonald,Bronze,GA,12,812087.0,21370.71,2022-04-28,2024-10-03,889.0,VIP
8355,Richard Martin,Gold,WI,11,811201.63,24581.87,2022-04-02,2024-11-22,965.0,VIP
904,Michele Knight,Silver,PA,7,809776.01,44987.56,2022-01-09,2024-12-19,1075.0,VIP
1868,Kenneth Black,Platinum,NC,11,809207.27,20230.18,2022-02-19,2024-12-31,1046.0,VIP
577,Laura Kaufman,Platinum,WA,10,809088.22,33712.01,2022-01-21,2024-03-14,783.0,VIP
6314,William Dougherty,Bronze,TN,6,806809.72,29881.84,2022-01-02,2024-03-24,812.0,VIP
5269,Michelle Allen,Silver,MD,9,806221.46,28793.62,2022-05-09,2024-08-31,845.0,VIP
6068,Michael Baker,Silver,GA,7,805599.52,33566.65,2022-05-29,2024-08-22,816.0,VIP
9841,Gary Barnett,Gold,WI,5,804552.66,47326.63,2022-02-14,2024-02-02,718.0,VIP
2591,Lisa Lee,Gold,NJ,11,804210.52,22977.44,2022-01-19,2024-09-21,976.0,VIP
5806,Alison Conrad,Bronze,NJ,3,804195.86,67016.32,2023-08-31,2024-02-05,158.0,VIP
6801,Laura Scott,Bronze,NJ,10,803400.87,22954.31,2022-02-22,2024-12-10,1022.0,VIP
5050,Tyler Paul,Silver,WI,6,802583.41,47210.79,2022-04-22,2024-12-16,969.0,VIP
9571,Michael Powers,Bronze,TX,6,802063.48,47180.2,2022-07-13,2024-11-24,865.0,VIP
2929,Brittany Cabrera,Bronze,IN,6,801925.22,44551.4,2022-07-21,2024-07-02,712.0,VIP
2548,Kristin Johnston,Bronze,NJ,9,801689.16,34856.05,2022-05-06,2024-08-15,832.0,VIP
567,Andres Nguyen,Bronze,MD,8,800143.23,38102.06,2022-03-05,2024-11-25,996.0,VIP
6116,Steven Lopez,Silver,MI,4,798976.62,88775.18,2022-08-30,2024-08-29,730.0,VIP
2752,Christian Spears,Silver,MA,2,796908.37,88545.37,2022-07-23,2024-04-10,627.0,VIP
717,Eric Lee,Bronze,WI,9,791638.84,25536.74,2022-05-13,2024-11-25,927.0,VIP
8978,Richard Houston,Silver,TX,5,788949.46,32872.89,2022-12-24,2024-12-22,729.0,VIP
6977,Lori Dougherty,Bronze,TX,9,787998.9,23878.75,2022-04-18,2024-10-11,907.0,VIP
1763,Robert Collins,Bronze,TX,7,782227.04,26973.35,2022-01-24,2024-12-14,1055.0,VIP
8797,Trevor Taylor,Silver,FL,9,779581.69,22273.76,2022-02-15,2024-12-26,1045.0,VIP
2261,Ashley Bridges,Gold,NY,10,774081.26,24190.04,2022-04-04,2024-12-09,980.0,VIP
1795,Jenna Mccoy,Silver,WI,12,773718.97,17193.75,2022-01-27,2024-08-01,917.0,VIP
6743,Kevin Pacheco,Silver,NJ,5,768578.76,40451.51,2022-11-14,2023-11-23,374.0,VIP
5811,Johnny Wallace,Gold,WA,10,762891.31,23117.92,2022-03-31,2024-07-02,824.0,VIP
9721,Adrian Parsons,Silver,WA,5,740966.93,56997.46,2022-03-25,2024-02-04,681.0,VIP
1799,James Allen,Bronze,IN,13,739186.77,18953.51,2022-09-17,2024-12-13,818.0,VIP
2308,Denise Jackson,Bronze,WI,7,730462.86,30435.95,2022-08-28,2024-11-19,814.0,VIP
3589,Paul Willis,Bronze,TN,10,723139.34,28925.57,2022-01-27,2023-11-29,671.0,VIP
4772,Stephanie Smith,Silver,AZ,5,722729.43,55594.57,2022-03-26,2023-12-27,641.0,VIP
5823,Brent Benton,Bronze,MI,8,715554.79,28622.19,2022-03-04,2024-11-09,981.0,VIP
1668,Jillian Fuller,Bronze,PA,12,710379.76,23679.33,2022-01-29,2024-12-23,1059.0,VIP
9412,Crystal Johnson,Gold,NY,5,707373.02,39298.5,2022-05-23,2023-11-27,553.0,VIP
7673,Michele Hall,Platinum,NY,4,702597.47,35129.87,2022-01-04,2024-04-18,835.0,VIP
7645,Shelly Smith,Gold,VA,13,699750.86,12495.55,2022-02-08,2024-10-28,993.0,VIP
2431,Andrew Ball,Platinum,NJ,6,699286.39,41134.49,2022-05-10,2024-04-15,706.0,VIP
4326,Thomas Smith,Bronze,VA,12,699039.35,18892.96,2022-09-06,2024-07-22,685.0,VIP
1045,Mary Holland,Platinum,MA,12,697468.47,21135.41,2022-07-09,2024-12-20,895.0,VIP
6443,Hannah Allen,Bronze,VA,9,695849.66,23194.99,2022-05-03,2024-08-07,827.0,VIP
1640,Megan Williams,Silver,NY,5,691525.15,43220.32,2023-10-14,2024-07-16,276.0,VIP
1526,Michael Rice,Bronze,MD,8,687109.65,25448.51,2022-01-30,2024-09-05,949.0,VIP
1949,Nathan Hubbard,Bronze,AZ,10,685724.08,21428.88,2022-04-28,2024-04-25,728.0,VIP
9339,Wendy Martinez,Silver,VA,6,683081.72,28461.74,2022-05-15,2024-11-27,927.0,VIP
4419,Adam Pacheco,Silver,MA,11,682023.05,19486.37,2022-03-30,2024-12-28,1004.0,VIP
5115,April Taylor,Bronze,OH,7,679804.6,25177.95,2022-04-06,2024-11-10,949.0,VIP
9974,Martha Gray,Silver,MA,8,679591.19,24271.11,2022-04-08,2024-09-21,897.0,VIP
2418,James Stein,Silver,IL,5,677502.95,52115.61,2022-06-26,2024-07-30,765.0,VIP
9852,Susan Ortiz,Bronze,IL,5,676641.26,67664.13,2022-02-25,2023-09-13,565.0,VIP
2164,Brandi Hudson,Bronze,MI,4,675528.28,48252.02,2022-01-26,2024-10-16,994.0,VIP
7953,Corey Brewer,Silver,MI,4,675089.75,42193.11,2023-04-01,2024-11-06,585.0,VIP
4482,Tara Scott,Bronze,IL,6,674810.83,29339.6,2022-05-23,2024-07-06,775.0,VIP
7425,Michael Thomas,Silver,NC,8,674517.77,35500.94,2022-02-22,2024-08-08,898.0,VIP
8423,Alexis Edwards,Bronze,PA,7,674014.27,37445.24,2023-07-11,2024-07-13,368.0,VIP
9993,Erin Norman,Platinum,MD,9,672927.41,25881.82,2022-04-11,2024-05-31,781.0,VIP
5184,Kelly Salazar,Platinum,OH,12,666256.62,18006.94,2022-03-10,2024-12-11,1007.0,VIP
6386,Richard Acosta,Bronze,MA,6,661185.23,44079.02,2022-01-29,2023-12-09,679.0,VIP
6812,Thomas Summers,Silver,FL,9,654641.52,31173.41,2022-01-28,2024-12-07,1044.0,VIP
3605,Kathryn Martinez,Bronze,TN,6,648315.35,32415.77,2022-01-31,2024-06-16,867.0,VIP
4164,Miguel Smith,Bronze,OH,8,640006.51,26666.94,2022-03-17,2024-10-08,936.0,VIP
2846,Crystal Nguyen,Silver,WI,11,626440.29,16930.82,2022-01-20,2024-12-18,1063.0,VIP
4639,Jasmine Hickman,Silver,IL,12,624788.42,15238.74,2022-04-17,2024-09-27,894.0,VIP
8379,Sean Herrera,Platinum,VA,7,623639.21,25984.97,2022-07-10,2024-11-26,870.0,VIP
3274,Riley Stanley,Bronze,MD,13,618360.87,15855.41,2022-02-01,2024-06-08,858.0,VIP
1523,Rose Wise,Silver,VA,4,616002.47,51333.54,2023-04-02,2024-05-01,395.0,VIP
1485,Jasmine Delgado,Bronze,AZ,13,615949.4,11621.69,2022-09-16,2024-12-04,810.0,VIP
2922,Martin Tucker,Bronze,PA,11,614566.27,13657.03,2022-06-20,2024-07-03,744.0,VIP
914,Manuel Williams,Gold,TN,10,614294.85,24571.79,2022-02-21,2024-06-19,849.0,VIP
8809,Ann Salinas,Bronze,AZ,5,613814.31,30690.72,2022-04-10,2024-03-16,706.0,VIP
7031,Ryan Gonzalez,Bronze,VA,8,613549.48,36091.15,2022-03-30,2024-11-09,955.0,VIP
4022,Jason Peters,Silver,NC,8,613133.3,22708.64,2022-09-14,2024-12-06,814.0,VIP
129,Zachary Ramirez,Platinum,TX,8,612977.79,20432.59,2022-05-29,2024-04-28,700.0,VIP
2637,Sarah Watts,Gold,MD,10,611978.76,20399.29,2022-01-13,2024-07-09,908.0,VIP
2719,Christopher Hudson,Bronze,CA,11,611926.73,16103.33,2022-11-16,2024-12-30,775.0,VIP
7699,Nicole Nguyen,Silver,MA,15,611396.86,13291.24,2022-03-16,2024-10-22,951.0,VIP
806,David White,Platinum,WA,6,611141.41,30557.07,2022-02-15,2024-08-14,911.0,VIP
4356,Carl Osborn,Bronze,MO,13,610894.1,13883.96,2022-01-14,2024-12-22,1073.0,VIP
9328,Cody Simon,Silver,WI,12,610213.75,17434.68,2022-05-21,2024-12-24,948.0,VIP
9482,John Martinez,Silver,OH,9,609912.69,21782.6,2022-01-12,2024-07-05,905.0,VIP
5404,Joseph Blackwell,Bronze,NY,9,609893.37,19059.17,2022-02-20,2024-07-09,870.0,VIP
6166,Peter Mann,Gold,NY,8,609383.17,25390.97,2022-03-17,2024-05-14,789.0,VIP
2179,Joann Ayers,Gold,WI,8,607628.57,26418.63,2023-02-28,2024-10-21,601.0,VIP
487,Shawn Moore,Bronze,MD,8,606816.96,22474.7,2022-12-30,2024-05-03,490.0,VIP
6058,Andrea Patrick,Silver,TX,7,605951.98,25248.0,2022-12-15,2024-09-03,628.0,VIP
3655,Gina Humphrey,Bronze,MA,7,605721.95,35630.7,2022-03-29,2024-08-11,866.0,VIP
1178,Patrick Flowers,Silver,WA,12,605393.01,18918.53,2022-01-14,2024-09-16,976.0,VIP
3965,Rachel Turner,Gold,WI,6,603947.16,43139.08,2022-05-07,2024-08-27,843.0,VIP
8201,Samantha Herring,Silver,NY,7,599205.69,23968.23,2022-04-27,2024-07-31,826.0,VIP
8841,Amy Case,Gold,VA,5,597512.97,59751.3,2022-03-01,2024-12-22,1027.0,VIP
1957,David Woods,Platinum,GA,7,595654.18,22061.27,2022-06-29,2024-07-29,761.0,VIP
4928,Andrew Douglas,Bronze,CA,8,592056.95,31160.89,2022-07-02,2024-10-11,832.0,VIP
6661,Martin Thompson,Silver,IN,7,590910.14,31100.53,2022-07-14,2024-12-05,875.0,VIP
7750,Brent Miles,Silver,NC,6,590627.59,36914.22,2022-05-16,2023-11-01,534.0,VIP
2121,Colleen Clark,Gold,PA,6,590102.01,39340.13,2022-02-13,2024-08-06,905.0,VIP
7553,Christopher Johnson,Bronze,TX,9,586946.43,14315.77,2022-01-17,2024-12-20,1068.0,VIP
7516,Desiree Cisneros,Silver,FL,5,584944.16,44995.7,2022-02-21,2024-10-01,953.0,VIP
2357,Monique Coleman,Gold,NY,10,582699.44,14941.01,2022-02-16,2024-11-28,1016.0,VIP
6990,Joanna Ochoa,Bronze,NJ,11,581869.5,12122.28,2022-02-03,2024-04-10,797.0,VIP
6233,Phillip Fitzgerald,Silver,WI,10,580300.97,17584.88,2022-09-02,2024-09-29,758.0,VIP
9115,Michael Gutierrez,Bronze,VA,5,576128.39,33889.91,2022-06-06,2024-05-02,696.0,VIP
4239,Kristi Kennedy,Platinum,IN,7,575932.53,35995.78,2023-02-24,2024-08-12,535.0,VIP
5425,Julie Evans,Gold,TN,5,573893.15,33758.42,2023-02-28,2024-12-27,668.0,VIP
5370,Patricia Adkins,Bronze,IN,8,571009.79,21961.92,2022-03-13,2024-07-01,841.0,VIP
1439,Nathan Nguyen,Platinum,IL,12,570460.96,13582.4,2022-06-17,2024-11-30,897.0,VIP
3650,Alan Nichols,Silver,GA,10,569737.72,15398.32,2022-02-28,2024-10-18,963.0,VIP
8681,John Erickson,Gold,WI,10,567704.7,14939.6,2022-01-27,2024-10-11,988.0,VIP
987,Amber Rodriguez,Gold,PA,5,563674.65,33157.33,2022-03-19,2024-10-29,955.0,VIP
3545,Brianna Ramsey,Bronze,MA,9,560217.45,24357.28,2022-01-07,2024-11-22,1050.0,VIP
760,Alyssa Cooper,Bronze,MO,8,552646.32,26316.49,2022-07-12,2024-04-15,643.0,VIP
7221,Calvin Ruiz,Silver,WI,7,542366.61,27118.33,2022-01-03,2024-01-30,757.0,VIP
5160,Lori Thompson,Gold,MI,12,538393.64,13131.55,2022-02-22,2024-12-28,1040.0,VIP
3433,Dustin Smith,Platinum,IN,8,537796.24,17926.54,2022-09-21,2024-06-15,633.0,VIP
6454,Christina Fox,Bronze,IN,8,536813.22,18510.8,2022-01-09,2024-10-17,1012.0,VIP
6683,April Garcia,Gold,VA,11,530200.11,16066.67,2022-03-10,2024-12-03,999.0,VIP
4830,Brett Santiago,Bronze,NY,12,525040.99,13462.59,2022-01-06,2024-12-20,1079.0,VIP
7823,Austin Roberts,Silver,TN,13,522421.63,14511.71,2022-03-21,2024-12-26,1011.0,VIP
7950,Matthew Callahan,Silver,MO,9,522140.77,16316.9,2022-02-25,2024-09-16,934.0,VIP
241,Alexander Benson,Bronze,NC,10,520262.27,15301.83,2022-01-23,2024-04-06,804.0,VIP
4136,Rebecca Guerrero,Silver,PA,10,520160.26,18577.15,2022-01-25,2024-11-25,1035.0,VIP
5675,William Smith,Bronze,NC,8,518685.06,13299.62,2022-03-20,2024-10-13,938.0,VIP
221,Justin Sims,Bronze,TN,6,516862.62,27203.3,2022-09-10,2024-12-12,824.0,VIP
4254,Angela Harvey,Bronze,OH,9,516574.99,18449.11,2022-03-04,2024-10-30,971.0,VIP
5981,Amy Wang,Bronze,MO,5,515347.3,46849.75,2022-05-23,2024-10-03,864.0,VIP
2876,Lori Brown,Gold,OH,8,515197.55,23418.07,2022-02-22,2024-11-16,998.0,VIP
4789,Hannah Graham,Gold,WI,9,515187.18,15152.56,2022-02-10,2024-11-04,998.0,VIP
5843,Michelle Espinoza,Bronze,VA,11,515117.19,12877.93,2022-04-03,2024-11-14,956.0,VIP
6272,Mandy Kennedy,Gold,MD,9,514578.85,22372.99,2022-04-11,2024-07-08,819.0,VIP
8227,Catherine Garcia,Silver,NY,9,513150.81,19005.59,2022-01-05,2024-11-20,1050.0,VIP
3072,Stephen Ortiz,Platinum,OH,10,513114.29,14253.17,2022-03-20,2024-08-31,895.0,VIP
9942,Alicia Gonzalez,Bronze,TN,8,513044.65,22306.29,2022-04-07,2024-12-04,972.0,VIP
6159,Timothy Stephens,Silver,OH,10,512886.98,16544.74,2022-10-05,2024-09-06,702.0,VIP
6119,Brian Pearson,Bronze,NJ,9,512776.85,21365.7,2022-02-07,2024-09-23,959.0,VIP
3779,Alyssa Clark,Gold,GA,7,512506.78,36607.63,2022-03-06,2024-12-15,1015.0,VIP
579,Robin Pope,Silver,MI,6,512409.01,34160.6,2022-03-18,2023-11-24,616.0,VIP
307,Loretta Brooks,Silver,WI,9,511821.69,17649.02,2022-06-08,2024-12-19,925.0,VIP
7622,Melissa Sanchez,Bronze,CA,7,511818.61,20472.74,2022-02-05,2023-03-08,396.0,VIP
5492,Michelle Garcia,Bronze,PA,8,511618.29,24362.78,2022-10-26,2024-10-06,711.0,VIP
6078,Anthony Thomas,Gold,IN,6,510908.29,23223.1,2022-04-05,2024-12-19,989.0,VIP
7702,Michael Martin,Silver,NC,7,510407.87,20416.31,2022-01-15,2024-06-20,887.0,VIP
6798,Catherine Gutierrez,Bronze,VA,10,509642.99,17573.9,2022-03-11,2024-11-28,993.0,VIP
913,Vicki Scott,Gold,PA,5,509359.87,33957.32,2022-04-13,2023-10-18,553.0,VIP
3555,Jennifer Lee,Platinum,WA,7,508983.58,20359.34,2022-05-17,2024-12-29,957.0,VIP
4838,Eric Butler,Bronze,AZ,5,508673.83,33911.59,2022-11-01,2024-07-26,633.0,VIP
854,Kathleen Jordan,Gold,OH,9,508083.6,18817.91,2022-02-10,2024-05-24,834.0,VIP
8828,Paul Shaw,Bronze,IL,9,507583.37,18127.98,2022-07-26,2024-09-04,771.0,VIP
9003,Marcus Williams,Bronze,CA,7,506324.81,36166.06,2023-03-30,2024-12-23,634.0,VIP
7073,Eric Andrews,Bronze,OH,9,505726.88,18061.67,2022-02-25,2024-11-21,1000.0,VIP
334,Keith Snyder,Bronze,PA,11,505399.9,14440.0,2022-04-21,2024-12-02,956.0,VIP
3964,Diana James,Bronze,NC,7,503447.82,19363.38,2022-03-08,2023-05-04,422.0,VIP
2759,Rebecca Bender,Gold,TX,1,503162.04,83860.34,2022-01-04,2022-01-04,0.0,VIP
4987,Eugene Jones,Bronze,WA,4,503031.15,41919.26,2022-02-01,2024-09-04,946.0,VIP
6042,Dennis Morales,Bronze,PA,13,502166.93,13214.92,2022-10-25,2024-10-03,709.0,VIP
9609,Thomas Adams,Bronze,CA,10,502109.7,16197.09,2022-03-26,2024-09-12,901.0,VIP
4234,Michael Simmons,Platinum,IN,4,501800.08,55755.56,2022-04-18,2022-12-31,257.0,VIP
9368,Jody Wright,Silver,IL,8,497855.48,21645.89,2022-08-15,2024-07-19,704.0,High Value
3077,Brad Lee,Bronze,NC,10,496325.42,19853.02,2022-01-02,2023-12-10,707.0,High Value
6267,Virginia Wood,Platinum,VA,11,494649.89,10992.22,2022-02-02,2024-10-03,974.0,High Value
9264,Michael Weber,Bronze,PA,10,494615.17,12063.78,2022-07-06,2024-06-12,707.0,High Value
1277,Nicole Gay,Bronze,WA,8,488844.3,16856.7,2022-01-28,2024-09-04,950.0,High Value
5887,Judith Stewart,Silver,FL,5,487784.69,44344.06,2022-05-05,2024-09-03,852.0,High Value
3408,Chad Simmons,Bronze,FL,10,487640.78,18755.41,2022-02-01,2024-11-25,1028.0,High Value
4713,Alexander Chen,Silver,VA,15,486507.7,10811.28,2022-02-19,2024-12-18,1033.0,High Value
6524,Isabel Walls,Gold,OH,10,478860.5,15962.02,2022-01-01,2024-11-04,1038.0,High Value
1347,Michelle Jones,Bronze,WA,13,472560.38,14320.01,2022-02-11,2024-11-26,1019.0,High Value
4458,Robert Cortez,Bronze,CA,12,456366.06,12334.22,2022-01-25,2024-12-28,1068.0,High Value
9683,Donna Cruz,Platinum,WI,7,450609.76,19591.73,2023-05-05,2024-12-05,580.0,High Value
322,Nicholas Myers,Bronze,IL,10,447127.03,17197.19,2022-03-23,2024-09-02,894.0,High Value
27,Tina Ferguson,Bronze,TX,5,444363.56,26139.03,2022-02-02,2024-09-18,959.0,High Value
4165,Lori Houston,Silver,FL,5,444332.81,21158.71,2023-05-20,2024-05-18,364.0,High Value
1678,Stephanie Carroll,Gold,WA,8,441549.22,13380.28,2022-02-01,2024-09-22,964.0,High Value
1713,Brianna King,Gold,PA,6,435133.41,25596.08,2022-05-12,2024-03-16,674.0,High Value
2232,Julia Davis,Platinum,NY,8,432692.71,13957.83,2022-01-28,2024-10-11,987.0,High Value
7451,Johnathan Berry,Gold,GA,8,427316.2,21365.81,2022-03-31,2024-12-15,990.0,High Value
2088,Antonio Costa,Bronze,WA,7,427157.71,15820.66,2022-02-02,2024-03-04,761.0,High Value
3803,Robert Johnson,Gold,OH,9,426780.16,12552.36,2022-08-04,2024-12-13,862.0,High Value
4846,Isabella Anderson,Bronze,NJ,9,426291.78,9688.45,2022-01-09,2024-07-21,924.0,High Value
558,Erik Alvarez,Gold,PA,9,426188.44,13748.01,2022-02-01,2024-08-16,927.0,High Value
4552,Kenneth Haynes,Bronze,IL,12,424911.22,10363.69,2022-01-06,2024-10-04,1002.0,High Value
9576,Caitlin Guerrero,Silver,IL,13,423063.01,9401.4,2022-01-10,2024-09-13,977.0,High Value
2797,Andrea Brown,Bronze,MO,10,423036.5,11751.01,2022-01-19,2024-05-18,850.0,High Value
7047,Kelly Rodriguez,Gold,OH,10,422719.3,15097.12,2022-04-25,2024-02-02,648.0,High Value
8648,Emily Sanchez,Bronze,OH,13,421805.67,8270.7,2022-05-07,2024-11-08,916.0,High Value
7079,Nancy Gutierrez,Gold,MI,8,420498.9,20023.76,2022-10-24,2024-11-01,739.0,High Value
4737,Justin Anderson,Gold,MI,10,420381.11,11361.65,2022-04-02,2024-06-29,819.0,High Value
136,Jennifer Wang,Bronze,IN,14,418951.07,8728.15,2022-05-01,2024-10-13,896.0,High Value
3427,Kevin Smith,Silver,WI,7,418940.76,19949.56,2022-01-08,2024-07-21,925.0,High Value
6421,Karen Miranda,Bronze,TN,9,417583.11,14913.68,2022-02-27,2024-10-26,972.0,High Value
7224,Dustin Krueger,Silver,NJ,10,416730.59,11906.59,2022-12-10,2024-03-23,469.0,High Value
6528,Kim Wright,Bronze,TX,7,416665.63,16025.6,2022-01-30,2024-04-01,792.0,High Value
2691,Haley Best,Bronze,MI,7,416143.86,18915.63,2022-05-14,2024-09-12,852.0,High Value
668,Mark Joyce,Bronze,MO,13,416079.27,11557.76,2022-03-06,2024-11-15,985.0,High Value
7933,Donald Davis,Gold,GA,11,415931.54,11883.76,2022-01-22,2024-11-23,1036.0,High Value
791,Crystal Quinn,Bronze,PA,9,415489.14,15980.35,2022-05-17,2024-12-02,930.0,High Value
2001,Bryan Valenzuela,Platinum,TN,6,415146.95,17297.79,2022-10-23,2023-06-23,243.0,High Value
7898,Carrie Mills,Silver,VA,12,415133.3,9884.13,2022-01-08,2024-12-06,1063.0,High Value
4076,Jonathan Clark,Silver,FL,7,414970.89,14820.39,2022-01-09,2024-12-03,1059.0,High Value
